iter	RMSE
473	0.5766349102
474	0.5764349709
475	0.5762418115
476	0.5761204649
477	0.5760162124
478	0.5756363138
479	0.5752108645
480	0.5747373193
481	0.5743667992
482	0.5740724062
483	0.5739840084
484	0.5736163858
485	0.5733473559
486	0.5732290752
487	0.5729129835
488	0.572674047
489	0.5724456345
490	0.5722979993
491	0.5720167033
492	0.571939501
493	0.571664257
494	0.5712833371
495	0.571072305
496	0.5708077958
497	0.5705297036
498	0.5703272311
499	0.5699396643
500	0.5697050286
501	0.5694335211
502	0.5693284818
503	0.5688771298
504	0.5686184473
505	0.5682487164
506	0.5681536136
507	0.5677971332
508	0.5675008944
509	0.5673566403
510	0.5670710733
511	0.5669628963
512	0.5667176017
513	0.5665387796
514	0.5662656312
515	0.5660928302
516	0.5658660129
517	0.5656265492
518	0.5652877322
519	0.5649607089
520	0.5646663609
521	0.5644480877
522	0.5639974636
523	0.5637515692
524	0.5633949011
525	0.5631145301
526	0.5628585707
527	0.5625336546
528	0.5623319131
529	0.5621925478
530	0.5619735292
531	0.5617104319
532	0.5613666429
533	0.5609784756
534	0.5607242673
535	0.5605112768
536	0.5603134637
537	0.5601055688
538	0.5598682466
539	0.5597962108
540	0.5596215447
541	0.5593422715
542	0.559028572
543	0.5588044147
544	0.5585313203
545	0.5582344135
546	0.5579478594
547	0.5576572709
548	0.5571566525
549	0.5569278907
550	0.5566572889
551	0.5564642586
552	0.5562101472
